trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
OCESN006749F0200211549,19:20:00,19:20:00,StopPoint:OCETGV INOUI-87686006,0,"",0,0,
OCESN006749F0200211549,20:57:00,21:01:00,StopPoint:OCETGV INOUI-87713040,1,"",0,0,
OCESN006749F0200211549,21:24:00,21:27:00,StopPoint:OCETGV INOUI-87713412,2,"",0,0,
OCESN006749F0200211549,21:50:00,21:50:00,StopPoint:OCETGV INOUI-87718007,3,"",0,0,
OCESN006749F0400411548,19:22:00,19:22:00,StopPoint:OCETGV INOUI-87686006,0,"",0,0,
OCESN006749F0400411548,20:59:00,21:03:00,StopPoint:OCETGV INOUI-87713040,1,"",0,0,
OCESN006749F0400411548,21:25:00,21:28:00,StopPoint:OCETGV INOUI-87713412,2,"",0,0,
OCESN006749F0400411548,21:51:00,21:51:00,StopPoint:OCETGV INOUI-87718007,3,"",0,0,
OCESN006751F0100111302,20:52:00,20:52:00,StopPoint:OCETGV INOUI-87686006,0,"",0,0,
OCESN006751F0100111302,21:55:00,21:58:00,StopPoint:OCETGV INOUI-87713131,1,"",0,0,
OCESN006751F0100111302,22:32:00,22:36:00,StopPoint:OCETGV INOUI-87713040,2,"",0,0,
OCESN006751F0100111302,22:58:00,23:01:00,StopPoint:OCETGV INOUI-87713412,3,"",0,0,
OCESN006751F0100111302,23:26:00,23:26:00,StopPoint:OCETGV INOUI-87718007,4,"",0,0,
OCESN006753F2802830,21:06:00,21:06:00,StopPoint:OCETGV INOUI-87686006,0,"",0,0,
OCESN006753F2802830,22:08:00,22:20:00,StopPoint:OCETGV INOUI-87713131,1,"",0,0,
OCESN006753F2802830,22:57:00,23:00:00,StopPoint:OCETGV INOUI-87713040,2,"",0,0,
OCESN006753F2802830,23:35:00,23:35:00,StopPoint:OCETGV INOUI-87718007,3,"",0,0,
OCESN006749F0100111550,19:22:00,19:22:00,StopPoint:OCETGV INOUI-87686006,0,"",0,0,
OCESN006749F0100111550,20:57:00,21:01:00,StopPoint:OCETGV INOUI-87713040,1,"",0,0,
OCESN006749F0100111550,21:24:00,21:27:00,StopPoint:OCETGV INOUI-87713412,2,"",0,0,
OCESN006749F0100111550,21:50:00,21:50:00,StopPoint:OCETGV INOUI-87718007,3,"",0,0,
OCESN006741F0700711106,09:52:00,09:52:00,StopPoint:OCETGV INOUI-87686006,0,"",0,0,
OCESN006741F0700711106,10:57:00,11:00:00,StopPoint:OCETGV INOUI-87713131,1,"",0,0,
OCESN006741F0700711106,11:33:00,11:36:00,StopPoint:OCETGV INOUI-87713040,2,"",0,0,
OCESN006741F0700711106,12:05:00,12:08:00,StopPoint:OCETGV INOUI-87300863,3,"",0,0,
